"user_id","username","name","first_name","last_name","location","bio","website","websites","followers_count","following_count","media_count","statuses_count","favourites_count","listed_count","fast_followers_count","normal_followers_count","followed_by","following","profile_banner_url","profile_url","avatar_url","can_dm","can_media_tag","verified","is_blue_verified","created_at"
"201040727","Candy_Gems","Candy Gems🍬💎","Candy","Gems🍬💎","Dubai","Crypto and NFTs Enthusiast ❤️| #BSC Gems | Community and Marketing manager | Tweets are not financial advice | #ETH #BNB #VOLT  #UniverseBossCoin  | 🇦🇷-🇺🇸","http://T.me/CandyGem","http://T.me/CandyGem",137540,50419,286,57811,263860,113,0,137540,,true,"https://pbs.twimg.com/profile_banners/201040727/1747924731","https://www.x.com/Candy_Gems","https://pbs.twimg.com/profile_images/1740803636052066304/AEAS9S3i_normal.jpg",true,false,false,true,"10/10/2010, 4:00:47 PM"
"1689296994890665984","kovinsegnocchi","KOVIN SEGNOCCHI","KOVIN","SEGNOCCHI","","$KOVIN Segnocchi leike abbax gud tech 

CA : 0x694200a68B18232916353250955bE220e88c5cBB

https://t.co/c4Syveg9TN","https://t.me/kovinsegnocchi","https://t.me/kovinsegnocchi
https://kovin.lol/",2677,153,509,758,2045,9,0,2677,,true,"https://pbs.twimg.com/profile_banners/1689296994890665984/1748533369","https://www.x.com/kovinsegnocchi","https://pbs.twimg.com/profile_images/1786672032626728960/iP-W3yX2_normal.jpg",true,true,false,true,"8/9/2023, 8:26:47 AM"
"1834284480766283776","enjoyjuicy","Juicy 🔺","Juicy","🔺","","Next Gen Social, powered by $JUICY, on Avalanche. Watch, create, subscribe & grow.","https://explore.enjoyjuicy.com/","https://explore.enjoyjuicy.com/",3780,261,279,2273,6729,16,0,3780,,true,"https://pbs.twimg.com/profile_banners/1834284480766283776/1746203790","https://www.x.com/enjoyjuicy","https://pbs.twimg.com/profile_images/1918341872134549509/JVADAklO_normal.jpg",true,true,false,true,"9/12/2024, 10:35:21 AM"
"1891237542218911744","IntegrityDAO","Integrity DAO","Integrity","DAO","Avalanche","Advancing the future of the Avalanche Blockchain by investing in innovative platforms and builders in the ecosystem","https://integrityburn.com/treasury","https://integrityburn.com/treasury",867,43,8,14,49,3,0,867,,true,"https://pbs.twimg.com/profile_banners/1891237542218911744/1739743132","https://www.x.com/IntegrityDAO","https://pbs.twimg.com/profile_images/1891238126187692032/S3oqCbO-_normal.jpg",true,true,false,true,"2/16/2025, 1:25:53 PM"
"1919953785977503744","TheIntegrityDAO","Integrity DAO token","Integrity","DAO token","","Born in the Arena, $ID is the governance token of Avalanche's legendary @IntegrityDAO.  
Treasury wallet: 0x06dda25dbf933471f9f92b431d936b67f9898ba3","http://integrityburn.com","http://integrityburn.com",1581,8,93,587,1654,8,0,1581,,true,"https://pbs.twimg.com/profile_banners/1919953785977503744/1747250160","https://www.x.com/TheIntegrityDAO","https://pbs.twimg.com/profile_images/1922736463877124096/mX-SWQl5_normal.jpg",true,true,false,true,"5/6/2025, 8:14:01 PM"
"1572095937178398721","GiulioXdotEth","GiulioX🐉 $MON🔺","GiulioX🐉","$MON🔺","","@monprotocol cofounder, @zalora cofounder, @pixelmon CEO - Web2 veteran in Web3 - @wardensascent","","",468192,1271,137,1663,13093,115,0,468192,,true,"https://pbs.twimg.com/profile_banners/1572095937178398721/1706787680","https://www.x.com/GiulioXdotEth","https://pbs.twimg.com/profile_images/1869727872145096704/e8G7yjgF_normal.jpg",true,true,false,true,"9/19/2022, 10:31:40 PM"
"1351139954525696005","beaniemaxi","Beanie","Beanie","","","Crypto native since the early days. Went all in on DeFi summer. Then tripled down on NFTs. VC @gmcapital_. No paid promos. Not financial advice. I talk my book.","https://gmcapital.xyz/","https://gmcapital.xyz/",225253,3161,4539,48610,52855,3820,0,225253,,true,"https://pbs.twimg.com/profile_banners/1351139954525696005/1742752391","https://www.x.com/beaniemaxi","https://pbs.twimg.com/profile_images/1904938043921911808/UpJdWkmy_normal.jpg",true,false,false,true,"1/18/2021, 4:10:52 AM"
"1525408567439785984","Moondog_26","MoonDog26 | COLA 🔺️","MoonDog26","| COLA 🔺️","","Full Degen 🧐
Cracked at Off The Grid 💥
Drink more Panda Cola!🥤
vePHAR maxi 📈","","",174,428,169,847,2524,1,0,174,,true,"https://pbs.twimg.com/profile_banners/1525408567439785984/1739669649","https://www.x.com/Moondog_26","https://pbs.twimg.com/profile_images/1911957287876386816/F9M3Ta1f_normal.jpg",true,true,false,true,"5/14/2022, 2:32:14 AM"
"1190608315622912000","TheArenaIndex","Arena Index 🔺 📊","Arena","Index 🔺 📊","See $IT →","The largest Arena data aggregator — covering memes, trends, and token prices. - https://t.co/ytllrRz9Kn","http://t.me/IndexOnAVAX","http://t.me/IndexOnAVAX
https://dexscreener.com/avalanche/0x685af6cb6ce8a67560bcbd49ae8e8a0bcaa4b61a",1202,10,17,29,111,3,0,1202,,true,"https://pbs.twimg.com/profile_banners/1190608315622912000/1748054786","https://www.x.com/TheArenaIndex","https://pbs.twimg.com/profile_images/1926104735519514624/CrfMWyi__normal.jpg",false,true,false,false,"11/2/2019, 5:35:31 AM"
"1112843322807275521","real_0s","FanthomX_0S.WEN 🎒","FanthomX_0S.WEN","🎒","Localhost: 445678","In the trenches looking for a 1M$, gAztec","","",725,3531,995,13006,5493,10,0,725,,true,"https://pbs.twimg.com/profile_banners/1112843322807275521/1743710807","https://www.x.com/real_0s","https://pbs.twimg.com/profile_images/1895832249288843264/V1IsKxv9_normal.jpg",true,true,false,true,"4/1/2019, 3:24:58 PM"
